index,name,center_wavelength,fwhm,min_wavelength,max_wavelength,noise_countrate,surface_brightness,5sigma_depth,exptime,seeing,x_aperture,aperture_radius,aperture_radius_pix
0,m4000,4000.0,250.0,3875.0,4125.0,0.1518,24.79,24.44,229949.99999999997,1.5,1.0,1.500,2.901
1,m4125,4125.0,250.0,4000.0,4250.0,0.2041,24.79,24.45,229949.99999999997,1.5,1.0,1.500,2.901
2,m4250,4250.0,250.0,4125.0,4375.0,0.2233,24.9,24.55,229949.99999999997,1.5,1.0,1.500,2.901
3,m4375,4375.0,250.0,4250.0,4500.0,0.2618,24.93,24.59,229949.99999999997,1.5,1.0,1.500,2.901
4,m4500,4500.0,250.0,4375.0,4625.0,0.3105,24.91,24.57,229949.99999999997,1.5,1.0,1.500,2.901
5,m4625,4625.0,250.0,4500.0,4750.0,0.335,24.92,24.58,229949.99999999997,1.5,1.0,1.500,2.901
6,m4750,4750.0,250.0,4625.0,4875.0,0.35,24.93,24.59,229949.99999999997,1.5,1.0,1.500,2.901
7,m4875,4875.0,250.0,4750.0,5000.0,0.3605,24.94,24.6,229949.99999999997,1.5,1.0,1.500,2.901
8,m5000,5000.0,250.0,4875.0,5125.0,0.3574,24.95,24.6,229949.99999999997,1.5,1.0,1.500,2.901
9,m5125,5125.0,250.0,5000.0,5250.0,0.3479,24.93,24.59,229949.99999999997,1.5,1.0,1.500,2.901
10,m5250,5250.0,250.0,5125.0,5375.0,0.3395,24.9,24.55,229949.99999999997,1.5,1.0,1.500,2.901
11,m5375,5375.0,250.0,5250.0,5500.0,0.3291,24.86,24.52,229949.99999999997,1.5,1.0,1.500,2.901
12,m5500,5500.0,250.0,5375.0,5625.0,0.4102,24.69,24.34,229949.99999999997,1.5,1.0,1.500,2.901
13,m5625,5625.0,250.0,5500.0,5750.0,0.4018,24.64,24.3,229949.99999999997,1.5,1.0,1.500,2.901
14,m5750,5750.0,250.0,5625.0,5875.0,0.3032,24.72,24.38,229949.99999999997,1.5,1.0,1.500,2.901
15,m5875,5875.0,250.0,5750.0,6000.0,0.3172,24.64,24.29,229949.99999999997,1.5,1.0,1.500,2.901
16,m6000,6000.0,250.0,5875.0,6125.0,0.2978,24.6,24.26,229949.99999999997,1.5,1.0,1.500,2.901
17,m6125,6125.0,250.0,6000.0,6250.0,0.2607,24.59,24.24,229949.99999999997,1.5,1.0,1.500,2.901
18,m6250,6250.0,250.0,6125.0,6375.0,0.3214,24.4,24.05,229949.99999999997,1.5,1.0,1.500,2.901
19,m6375,6375.0,250.0,6250.0,6500.0,0.3052,24.36,24.01,229949.99999999997,1.5,1.0,1.500,2.901
20,m6500,6500.0,250.0,6375.0,6625.0,0.2228,24.44,24.09,229949.99999999997,1.5,1.0,1.500,2.901
21,m6625,6625.0,250.0,6500.0,6750.0,0.1983,24.41,24.07,229949.99999999997,1.5,1.0,1.500,2.901
22,m6750,6750.0,250.0,6625.0,6875.0,0.1805,24.35,24.01,229949.99999999997,1.5,1.0,1.500,2.901
23,m6875,6875.0,250.0,6750.0,7000.0,0.1741,24.25,23.91,229949.99999999997,1.5,1.0,1.500,2.901
24,m7000,7000.0,250.0,6875.0,7125.0,0.1496,24.22,23.88,229949.99999999997,1.5,1.0,1.500,2.901
25,m7125,7125.0,250.0,7000.0,7250.0,0.1319,24.15,23.81,229949.99999999997,1.5,1.0,1.500,2.901
26,m7250,7250.0,250.0,7125.0,7375.0,0.1623,23.89,23.54,229949.99999999997,1.5,1.0,1.500,2.901
27,m7375,7375.0,250.0,7250.0,7500.0,0.1608,23.79,23.44,229949.99999999997,1.5,1.0,1.500,2.901
28,m7500,7500.0,250.0,7375.0,7625.0,0.1104,23.82,23.47,229949.99999999997,1.5,1.0,1.500,2.901
29,m7625,7625.0,250.0,7500.0,7750.0,0.09918,23.66,23.32,229949.99999999997,1.5,1.0,1.500,2.901
30,m7750,7750.0,250.0,7625.0,7875.0,0.1355,23.4,23.06,229949.99999999997,1.5,1.0,1.500,2.901
31,m7875,7875.0,250.0,7750.0,8000.0,0.1553,23.24,22.89,229949.99999999997,1.5,1.0,1.500,2.901
32,m8000,8000.0,250.0,7875.0,8125.0,0.115,23.25,22.91,229949.99999999997,1.5,1.0,1.500,2.901
33,m8125,8125.0,250.0,8000.0,8250.0,0.06753,23.37,23.03,229949.99999999997,1.5,1.0,1.500,2.901
34,m8250,8250.0,250.0,8125.0,8375.0,0.08061,23.07,22.73,229949.99999999997,1.5,1.0,1.500,2.901
35,m8375,8375.0,250.0,8250.0,8500.0,0.1159,22.82,22.48,229949.99999999997,1.5,1.0,1.500,2.901
36,m8500,8500.0,250.0,8375.0,8625.0,0.08853,22.86,22.51,229949.99999999997,1.5,1.0,1.500,2.901
37,m8625,8625.0,250.0,8500.0,8750.0,0.06337,22.8,22.45,229949.99999999997,1.5,1.0,1.500,2.901
38,m8750,8750.0,250.0,8625.0,8875.0,0.09367,22.45,22.11,229949.99999999997,1.5,1.0,1.500,2.901
39,m8875,8875.0,250.0,8750.0,9000.0,0.1022,22.22,21.87,229949.99999999997,1.5,1.0,1.500,2.901
