col1,col2
300.5,9.5000001465451e-07
301.0,9.5000001465451e-07
301.5,9.5000001465451e-07
302.0,9.5000001465451e-07
302.5,9.5000001465451e-07
303.0,9.5000001465451e-07
303.5,9.5000001465451e-07
304.0,9.5000001465451e-07
304.5,9.5000001465451e-07
305.0,9.5000001465451e-07
305.5,9.5000001465451e-07
306.0,9.5000001465451e-07
306.5,9.5000001465451e-07
307.0,9.5000001465451e-07
307.5,9.5000001465451e-07
308.0,9.5000001465451e-07
308.5,9.5000001465451e-07
309.0,9.5000001465451e-07
309.5,9.5000001465451e-07
310.0,9.5000001465451e-07
310.5,9.5000001465451e-07
311.0,9.5000001465451e-07
311.5,9.5000001465451e-07
312.0,9.5000001465451e-07
312.5,9.5000001465451e-07
313.0,9.5000001465451e-07
313.5,9.5000001465451e-07
314.0,9.5000001465451e-07
314.5,9.5000001465451e-07
315.0,9.5000001465451e-07
315.5,9.5000001465451e-07
316.0,9.5000001465451e-07
316.5,9.5000001465451e-07
317.0,9.5000001465451e-07
317.5,9.5000001465451e-07
318.0,9.5000001465451e-07
318.5,9.5000001465451e-07
319.0,9.5000001465451e-07
319.5,9.5000001465451e-07
320.0,9.5000001465451e-07
320.5,9.5000001465451e-07
321.0,9.5000001465451e-07
321.5,9.5000001465451e-07
322.0,9.9464602953958e-07
322.5,9.5000001465451e-07
323.0,9.5000001465451e-07
323.5,1.0582000413706e-06
324.0,9.5000001465451e-07
324.5,9.5000001465451e-07
325.0,9.5000001465451e-07
325.5,1.2237300097695e-06
326.0,9.5000001465451e-07
326.5,9.5000001465451e-07
327.0,9.5000001465451e-07
327.5,9.5000001465451e-07
328.0,9.5000001465451e-07
328.5,9.5000001465451e-07
329.0,9.5000001465451e-07
329.5,9.5000001465451e-07
330.0,9.5000001465451e-07
330.5,9.5000001465451e-07
331.0,9.5000001465451e-07
331.5,9.5000001465451e-07
332.0,9.5000001465451e-07
332.5,9.5000001465451e-07
333.0,9.5000001465451e-07
333.5,9.5000001465451e-07
334.0,1.0974899851135e-06
334.5,9.5000001465451e-07
335.0,1.0741199503173e-06
335.5,9.5000001465451e-07
336.0,1.1205099781364e-06
336.5,9.5000001465451e-07
337.0,1.2721000075544e-06
337.5,9.5000001465451e-07
338.0,1.0571800430625e-06
338.5,1.3192100141168e-06
339.0,9.5000001465451e-07
339.5,9.5000001465451e-07
340.0,9.5000001465451e-07
340.5,1.9464100660116e-06
341.0,9.5000001465451e-07
341.5,5.0376002036501e-06
342.0,5.1002398322453e-06
342.5,7.8198199844337e-06
343.0,1.6706899259589e-05
343.5,3.17271988024e-05
344.0,6.1634498706553e-05
344.5,0.00011337600153638
345.0,0.0002032530028373
345.5,0.00033515298855491
346.0,0.00047443900257349
346.5,0.00057789101265371
347.0,0.0005690089892596
347.5,0.00045921199489385
348.0,0.00031547198886983
348.5,0.00019066600361839
349.0,0.00012323800183367
349.5,9.7266602097079e-05
350.0,8.5469197074417e-05
350.5,6.6748201788869e-05
351.0,5.3157898946665e-05
351.5,4.8201298341155e-05
352.0,5.8898898714688e-05
352.5,7.0225003582891e-05
353.0,7.830309914425e-05
353.5,6.3825398683548e-05
354.0,4.53792999906e-05
354.5,2.6019299184554e-05
355.0,1.0373800250818e-05
355.5,4.0023701330938e-06
356.0,2.7461699119158e-06
356.5,9.5000001465451e-07
357.0,1.0836899946298e-06
357.5,9.7405097676528e-07
358.0,1.119540002037e-06
358.5,1.1469400078568e-06
359.0,1.7498599618193e-06
359.5,1.442529992346e-06
360.0,3.6753799577127e-06
360.5,8.6260797615978e-06
361.0,1.831950066844e-05
361.5,2.032530028373e-05
362.0,1.9035300283576e-05
362.5,3.8851998397149e-05
363.0,0.0001015469970298
363.5,0.00014833999739494
364.0,0.00011542999709491
364.5,0.00010182300320594
365.0,0.00016732000221964
365.5,0.00017816100444179
366.0,9.8259799415246e-05
366.5,1.6694599253242e-05
367.0,3.5136699807481e-06
367.5,1.7748500340531e-06
368.0,1.8982600522577e-06
368.5,1.7014999684761e-06
369.0,1.4829199699307e-06
369.5,4.9360901357431e-06
370.0,1.5064700164658e-05
370.5,1.8327600628254e-05
371.0,9.525399946142e-06
371.5,2.9845500648662e-06
372.0,2.6600100682117e-06
372.5,2.1334299162845e-06
373.0,2.9165898922656e-06
373.5,3.7711999993917e-06
374.0,5.2229897846701e-06
374.5,7.279350029421e-06
375.0,5.3073299568496e-06
375.5,3.3834699024737e-06
376.0,1.3351500456338e-06
376.5,9.5000001465451e-07
377.0,1.0879000456043e-06
377.5,9.5000001465451e-07
378.0,1.1890399491676e-06
378.5,9.5000001465451e-07
379.0,9.5000001465451e-07
379.5,1.0203000329057e-06
380.0,9.7868496595765e-07
380.5,1.1809499937954e-06
381.0,1.3140800092515e-06
381.5,2.7198300358577e-06
382.0,6.4097298491106e-06
382.5,6.0814700191258e-06
383.0,3.2409000141342e-06
383.5,1.2774299875673e-06
384.0,1.0903099791904e-06
384.5,9.5000001465451e-07
385.0,9.5000001465451e-07
385.5,1.266240019504e-06
386.0,9.5000001465451e-07
386.5,9.5000001465451e-07
387.0,1.0666500429579e-06
387.5,9.5000001465451e-07
388.0,9.7079100669362e-07
388.5,1.4947900126572e-06
389.0,1.6388499943787e-06
389.5,2.5607700990804e-06
390.0,8.352740223927e-06
390.5,7.4331197538413e-05
391.0,0.00022659100068267
391.5,0.00028789200587198
392.0,0.00017003099492285
392.5,8.3020597230643e-05
393.0,8.7405998783652e-05
393.5,0.00015028100460768
394.0,0.00033973800600506
394.5,0.00098348304163665
395.0,0.0038789599202573
395.5,0.022410299628973
396.0,0.14987100660801
396.5,0.44515401124954
397.0,0.69476801156998
397.5,0.78645098209381
398.0,0.84664797782898
398.5,0.91918301582336
399.0,0.95337998867035
399.5,0.96154302358627
400.0,0.9638170003891
400.5,0.96537601947784
401.0,0.96687400341034
401.5,0.9681059718132
402.0,0.96919298171997
402.5,0.97020500898361
403.0,0.97072100639343
403.5,0.97165697813034
404.0,0.97249400615692
404.5,0.97330498695374
405.0,0.97345000505447
405.5,0.97421598434448
406.0,0.97490900754929
406.5,0.97485601902008
407.0,0.97621601819992
407.5,0.97599101066589
408.0,0.97628998756409
408.5,0.9766029715538
409.0,0.97605097293854
409.5,0.97635000944138
410.0,0.97694897651672
410.5,0.97812497615814
411.0,0.97865700721741
411.5,0.97838401794434
412.0,0.97842901945114
412.5,0.97811698913574
413.0,0.97857201099396
413.5,0.97772699594498
414.0,0.97795498371124
414.5,0.97785001993179
415.0,0.97853201627731
415.5,0.97982901334763
416.0,0.98134100437164
416.5,0.98111897706985
417.0,0.9813420176506
417.5,0.98166000843048
418.0,0.98045700788498
418.5,0.97933900356293
419.0,0.97792100906372
419.5,0.97681099176407
420.0,0.97630399465561
420.5,0.97643500566483
421.0,0.97796899080276
421.5,0.97990798950195
422.0,0.98175001144409
422.5,0.98273700475693
423.0,0.9835370182991
423.5,0.98331499099731
424.0,0.98401099443436
424.5,0.98391199111938
425.0,0.98436999320984
425.5,0.98422700166702
426.0,0.98373901844025
426.5,0.98350197076797
427.0,0.98356902599335
427.5,0.98358100652695
428.0,0.98417097330093
428.5,0.98449397087097
429.0,0.98407799005508
429.5,0.98466902971268
430.0,0.98473900556564
430.5,0.98461198806763
431.0,0.98529899120331
431.5,0.98560297489166
432.0,0.98470199108124
432.5,0.9850800037384
433.0,0.98428601026535
433.5,0.98360300064087
434.0,0.98296397924423
434.5,0.98346400260925
435.0,0.98353797197342
435.5,0.98283499479294
436.0,0.98290002346039
436.5,0.98342502117157
437.0,0.98390400409698
437.5,0.98346298933029
438.0,0.98409998416901
438.5,0.9847360253334
439.0,0.98490899801254
439.5,0.98606199026108
440.0,0.98655897378922
440.5,0.98715198040009
441.0,0.98718100786209
441.5,0.98703598976135
442.0,0.987075984478
442.5,0.98692399263382
443.0,0.98720997571945
443.5,0.98725599050522
