col1,col2
301.0,9.5000001465451e-07
302.0,1.0345900136599e-06
303.0,9.5000001465451e-07
304.0,9.5000001465451e-07
305.0,9.5000001465451e-07
306.0,9.5000001465451e-07
307.0,9.5000001465451e-07
308.0,9.5000001465451e-07
309.0,9.5000001465451e-07
310.0,9.5000001465451e-07
311.0,9.5000001465451e-07
312.0,9.5000001465451e-07
313.0,9.5000001465451e-07
314.0,9.5000001465451e-07
315.0,9.5000001465451e-07
316.0,9.5000001465451e-07
317.0,9.5000001465451e-07
318.0,9.5000001465451e-07
319.0,9.5000001465451e-07
320.0,2.6452698875801e-06
321.0,1.5102899624253e-06
322.0,2.58311001744e-06
323.0,1.8529200360717e-06
324.0,2.5684300908324e-06
325.0,2.8984900382056e-06
326.0,2.435569967929e-06
327.0,2.3560799036204e-06
328.0,2.5245299184462e-06
329.0,9.5000001465451e-07
330.0,2.3659199541726e-06
331.0,3.6166700283502e-06
332.0,9.5000001465451e-07
333.0,1.7649899746175e-06
334.0,2.3374700504064e-06
335.0,9.5000001465451e-07
336.0,1.8667600443223e-06
337.0,9.5000001465451e-07
338.0,2.6234099550493e-06
339.0,1.6662199868733e-06
340.0,5.0429798648111e-06
341.0,1.5978099554559e-06
342.0,2.7650501124299e-06
343.0,3.0757998956688e-06
344.0,2.0882300759695e-06
345.0,2.1076700704725e-06
346.0,2.2741999146092e-06
347.0,1.5181800563369e-06
348.0,9.5000001465451e-07
349.0,9.5000001465451e-07
350.0,3.3675798931654e-06
351.0,1.5681299601056e-06
352.0,1.2611800457307e-06
353.0,3.3853900731629e-06
354.0,2.8812501113862e-06
355.0,3.6412100143934e-06
356.0,3.817210199486e-06
357.0,6.5148601606779e-06
358.0,5.9411599977466e-06
359.0,1.7483600458945e-05
360.0,1.1915700270038e-05
361.0,6.0017500800313e-06
362.0,7.6762598837377e-06
363.0,1.5272199789251e-06
364.0,1.044580017151e-06
365.0,1.0290799536961e-06
366.0,2.0798800051125e-06
367.0,1.1138999980176e-06
368.0,1.350099978481e-06
369.0,1.9425199297984e-06
370.0,1.474590021644e-06
371.0,1.4648900332759e-06
372.0,6.3911497818481e-06
373.0,2.8649199066422e-06
374.0,1.7047500477929e-06
375.0,9.5000001465451e-07
376.0,9.5000001465451e-07
377.0,9.5000001465451e-07
378.0,9.5000001465451e-07
379.0,1.3625600558953e-06
380.0,9.5000001465451e-07
381.0,1.7685399598122e-06
382.0,1.3636599760503e-06
383.0,1.323800006503e-06
384.0,1.5528099766016e-06
385.0,1.0573800182101e-06
386.0,9.5000001465451e-07
387.0,9.5000001465451e-07
388.0,9.5000001465451e-07
389.0,1.0064600246551e-06
390.0,1.357029987048e-06
391.0,9.5000001465451e-07
392.0,1.306109993493e-06
393.0,2.7277098979539e-06
394.0,2.2384699605027e-06
395.0,1.8716500562732e-06
396.0,9.5000001465451e-07
397.0,9.5000001465451e-07
398.0,9.5000001465451e-07
399.0,3.0495800729113e-06
400.0,1.351609989797e-05
401.0,1.0580899925117e-06
402.0,1.1721699593181e-06
403.0,1.0538300330154e-06
404.0,1.1022500530089e-06
405.0,9.5000001465451e-07
406.0,1.8032500292975e-06
407.0,9.5000001465451e-07
408.0,4.1423099901294e-06
409.0,9.5000001465451e-07
410.0,9.5000001465451e-07
411.0,9.5000001465451e-07
412.0,1.9994099602627e-06
413.0,9.5000001465451e-07
414.0,9.5000001465451e-07
415.0,9.5000001465451e-07
416.0,9.5000001465451e-07
417.0,9.5000001465451e-07
418.0,9.5000001465451e-07
419.0,9.6640803803894e-07
420.0,9.5000001465451e-07
421.0,9.5000001465451e-07
422.0,9.5000001465451e-07
423.0,9.5000001465451e-07
424.0,9.5000001465451e-07
425.0,9.5000001465451e-07
426.0,9.5000001465451e-07
427.0,9.5000001465451e-07
428.0,9.5000001465451e-07
429.0,9.5000001465451e-07
430.0,1.8284299585503e-06
431.0,1.3144400554665e-06
432.0,9.5000001465451e-07
433.0,9.5000001465451e-07
434.0,9.5000001465451e-07
435.0,9.5000001465451e-07
436.0,9.5000001465451e-07
437.0,1.2184000297566e-06
438.0,9.5000001465451e-07
439.0,9.5000001465451e-07
440.0,9.5000001465451e-07
441.0,9.5000001465451e-07
442.0,9.5000001465451e-07
443.0,9.5000001465451e-07
444.0,9.5000001465451e-07
445.0,9.5000001465451e-07
446.0,9.5000001465451e-07
447.0,9.5000001465451e-07
448.0,1.6237800082308e-05
449.0,7.0525998125959e-06
450.0,1.1582400247789e-06
451.0,9.5000001465451e-07
452.0,9.5000001465451e-07
