wavelength, depth
0.751, 19.177
0.770, 19.162
0.790, 19.154
0.810, 19.141
0.827, 19.136
0.846, 19.130
0.868, 19.123
0.890, 19.122
0.910, 19.117
0.934, 19.100
0.957, 19.104
0.980, 19.101
1.003, 19.099
1.027, 19.093
1.053, 19.091
1.078, 19.088
1.142, 19.075
1.171, 19.075
1.200, 19.075
1.231, 19.077
1.262, 19.077
1.293, 19.077
1.326, 19.077
1.359, 19.079
1.394, 19.084
1.429, 19.089
1.465, 19.097
1.502, 19.099
1.540, 19.101
1.579, 19.106
1.618, 19.111
1.659, 19.123
1.701, 19.134
1.744, 19.142
1.788, 19.147
1.833, 19.149
1.879, 19.159
1.927, 19.164
1.976, 19.174
2.025, 19.179
2.076, 19.184
2.129, 19.197
2.183, 19.200
2.238, 19.207
2.294, 19.215
2.352, 19.227
2.411, 19.230
2.497, 19.324
2.566, 19.333
2.638, 19.350
2.711, 19.351
2.793, 19.338
2.871, 19.333
2.951, 19.341
3.033, 19.354
3.125, 19.367
3.219, 19.366
3.315, 19.362
3.398, 19.362
3.482, 19.348
3.592, 19.322
3.701, 19.302
3.804, 19.253
3.841, 18.321
3.880, 18.315
3.918, 18.295
3.958, 18.282
3.997, 18.263
4.037, 18.244
4.078, 18.225
4.118, 18.199
4.160, 18.186
4.201, 18.160
4.243, 18.135
4.286, 18.109
4.329, 18.083
4.367, 18.053
4.427, 18.025
4.463, 17.885
4.504, 17.846
4.549, 17.820
4.595, 17.788
4.641, 17.756
4.687, 17.718
4.734, 17.692
4.782, 17.660
4.829, 17.628
4.878, 17.589
4.927, 17.557
4.976, 17.525
5.026, 17.506
