wavelength, depth
0.752, 21.387
0.769, 21.374
0.788, 21.367
0.808, 21.348
0.829, 21.348
0.847, 21.335
0.869, 21.334
0.891, 21.322
0.911, 21.321
0.934, 21.321
0.955, 21.308
0.979, 21.308
1.004, 21.308
1.029, 21.308
1.053, 21.295
1.079, 21.295
1.140, 21.282
1.166, 21.282
1.195, 21.281
1.225, 21.281
1.256, 21.281
1.285, 21.287
1.317, 21.294
1.350, 21.294
1.384, 21.293
1.416, 21.293
1.452, 21.306
1.488, 21.306
1.522, 21.306
1.560, 21.312
1.600, 21.318
1.636, 21.331
1.686, 21.344
1.724, 21.343
1.767, 21.356
1.812, 21.362
1.858, 21.362
1.900, 21.369
1.948, 21.381
1.992, 21.388
2.042, 21.394
2.094, 21.394
2.141, 21.406
2.195, 21.406
2.245, 21.419
2.302, 21.425
2.360, 21.431
2.419, 21.444
2.499, 21.534
2.568, 21.546
2.640, 21.559
2.720, 21.559
2.795, 21.571
2.873, 21.584
2.953, 21.584
3.042, 21.597
3.127, 21.584
3.214, 21.596
3.311, 21.590
3.403, 21.583
3.498, 21.570
3.604, 21.544
3.704, 21.506
3.807, 21.467
3.863, 20.525
3.902, 20.512
3.941, 20.493
3.980, 20.474
4.020, 20.461
4.060, 20.442
4.101, 20.422
4.142, 20.397
4.184, 20.377
4.225, 20.358
4.268, 20.326
4.310, 20.307
4.354, 20.268
4.397, 20.243
4.441, 20.153
4.485, 20.076
4.530, 20.037
4.576, 20.012
4.621, 19.980
4.668, 19.948
4.714, 19.909
4.761, 19.877
4.809, 19.851
4.857, 19.819
4.906, 19.781
4.955, 19.749
5.004, 19.710
