wavelength, depth
0.752, 21.848
0.769, 21.835
0.790, 21.822
0.808, 21.809
0.829, 21.802
0.848, 21.796
0.869, 21.783
0.891, 21.774
0.911, 21.774
0.934, 21.757
0.958, 21.757
0.979, 21.757
1.004, 21.744
1.029, 21.744
1.055, 21.743
1.079, 21.743
1.140, 21.756
1.169, 21.762
1.195, 21.768
1.226, 21.768
1.256, 21.768
1.288, 21.768
1.317, 21.768
1.351, 21.774
1.385, 21.774
1.416, 21.780
1.452, 21.780
1.485, 21.780
1.522, 21.793
1.561, 21.799
1.600, 21.799
1.636, 21.805
1.686, 21.766
1.724, 21.779
1.768, 21.779
1.812, 21.785
1.853, 21.792
1.900, 21.804
1.943, 21.811
1.997, 21.817
2.042, 21.829
2.094, 21.829
2.141, 21.842
2.195, 21.842
2.245, 21.861
2.302, 21.861
2.360, 21.880
2.420, 21.880
2.493, 21.957
2.569, 21.963
2.640, 21.969
2.713, 21.982
2.789, 21.994
2.873, 22.007
2.953, 22.007
3.043, 22.013
3.127, 22.019
3.214, 22.013
3.312, 22.006
3.404, 22.006
3.498, 21.980
3.605, 21.954
3.705, 21.916
3.808, 21.864
3.864, 20.993
3.902, 20.974
3.942, 20.948
3.981, 20.922
4.021, 20.897
4.061, 20.871
4.102, 20.845
4.143, 20.813
4.184, 20.781
4.226, 20.755
4.268, 20.723
4.311, 20.685
4.354, 20.653
4.398, 20.608
4.442, 20.531
4.486, 20.441
4.531, 20.409
4.576, 20.364
4.622, 20.338
4.668, 20.294
4.715, 20.255
4.762, 20.210
4.810, 20.178
4.858, 20.133
4.906, 20.095
4.955, 20.056
5.005, 20.018
